"","V1","recom","V3"
"2167",35644,17046364,0.0459656248281929
"2591",35644,19440530,0.0515300432005623
"355",35644,4000503,0.0738212108737416
"2475",35644,18659643,0.0765260867790556
"478",35644,4795042,0.0782616684496216
"919",35644,8973016,0.0785359327633095
"1176",35644,10574526,0.0786714372477568
"1387",35644,12526254,0.0795020949316344
"2547",35644,19103518,0.0795665612420931
"764",35644,7053405,0.0798668537352477
"612",35644,5633031,0.0762174591442884
"1767",35644,15399228,0.077035285658979
"281",35644,3096468,0.0781544610812904
"958",35644,9257438,0.0785758916570399
"4",35644,88873,0.079558697517967
"3827",35644,24833934,0.0807773583688218
"578",35644,5353814,0.081771516367553
"1800",35644,15499282,0.0824108508411817
"385",35644,4299394,0.0838647271163329
"2105",35644,16745479,0.0843845755419193
"3835",35644,24876945,0.0583820060010536
"366",35644,4131082,0.0897127016675889
"425",35644,4503460,0.0938751064920471
"980",35644,9429687,0.0960906685906686
"679",35644,6148712,0.0964855124010054
"2075",35644,16655559,0.0968650793650794
"3700",35644,24049567,0.0971785886071601
"1330",35644,12029765,0.0988200027485742
"647",35644,5841722,0.0988563231312422
"119",35644,1572316,0.099669659502819
"3650",35644,23843770,0.0437352264137978
"613",35644,5653946,0.0478385743937585
"302",35644,3283463,0.0493645590273604
"1724",35644,15201274,0.0666508031286356
"2377",35644,18115051,0.0706809195205807
"1407",35644,12713144,0.0715525841643338
"1316",35644,11833285,0.0726601479506672
"1107",35644,10125880,0.0753855321299541
"2342",35644,17964132,0.0762261365709642
"2294",35644,17626285,0.0766130882865163
"67",35644,905873,0.0492415613458305
"1798",35644,15498128,0.066442961108429
"1746",35644,15327408,0.072916304393302
"978",35644,9411742,0.0839742887375469
"2327",35644,17865661,0.090718795303862
"2812",35644,20971470,0.0919216158471606
"2155",35644,16987462,0.0919906456579807
"3467",35644,23094548,0.0925416114913693
"1083",35644,9962914,0.0926169626510068
"3689",35644,24000521,0.0934830967162066
"832",35644,8038547,0.0436037646602285
"1460",35644,13180603,0.0513175023442825
"1779",35644,15425742,0.0818472179882352
"2720",35644,20527818,0.0845137237633935
"3452",35644,23044470,0.0874054393698762
"617",35644,5686490,0.0890983588205002
"3299",35644,22436517,0.0897897402025539
"642",35644,5785194,0.0902140907608289
"2721",35644,20528470,0.0921683096840674
"3099",35644,21901070,0.0931692324425441
"2311",35644,17751972,0.112258347016968
"304",35644,3312459,0.114157499185207
"1620",35644,14451993,0.116269224297493
"3919",35644,25494817,0.125651893080465
"1399",35644,12631875,0.136715179000893
"552",35644,5165746,0.142357256056147
"2021",35644,16509441,0.143378787878788
"1433",35644,12932955,0.145156200490974
"1211",35644,10929810,0.145651893080465
"8321",35644,8038547,0.145698681202106
"1680",35644,14948529,0.0678787878787879
"1775",35644,15423137,0.0811111111111111
"3332",35644,22521766,0.0866666666666667
"1783",35644,15427401,0.0924716553287982
"1683",35644,14967926,0.0962358276643991
"2286",35644,17606683,0.113015873015873
"2845",35644,21129824,0.119569160997732
"3401",35644,22837377,0.12
"2287",35644,17606946,0.12187134502924
"4058",35644,26756246,0.129013605442177
"1217",35644,11050418,0.147208166872032
"7",35644,252996,0.147664399092971
"1059",35644,9827717,0.151800981464847
"1730",35644,15221997,0.152093585426919
"2545",35644,19073178,0.152302512302512
"1940",35644,16197723,0.156186399181236
"1055",35644,9798297,0.158447929414073
"791",35644,7483972,0.160206497390883
"2495",35644,18784289,0.160849520849521
"3404",35644,22851898,0.165520906272786
"124",35644,1646447,0.0069265873015873
"1132",35644,10271139,0.0765631826124946
"118",35644,1548425,0.0791257849293564
"1500",35644,13367061,0.0864232428779372
"1628",35644,14478613,0.0939558424379853
"21671",35644,17046364,0.107490079365079
"427",35644,4519928,0.107946428571429
"2047",35644,16581420,0.108104353364962
"2136",35644,16849118,0.108310071887427
"3551",35644,4000503,0.108747636019785
"4076",35644,26936929,0.0788904731365049
"1381",35644,12452468,0.0892857715476763
"70",35644,920041,0.0959262795436563
"1524",35644,13663684,0.0973276224069875
"146",35644,1907187,0.0985570462753002
"4075",35644,26936381,0.0992309145880574
"1541",35644,13817589,0.104792558998908
"401",35644,4388469,0.109138321995465
"4259",35644,28897036,0.110414042160074
"1513",35644,13519271,0.113268512792322
"1384",35644,12493885,0.11645551882027
"3378",35644,22691361,0.126876558173914
"4092",35644,27176884,0.129399775843146
"1950",35644,16220543,0.130169036125528
"3648",35644,23841973,0.135427541815663
"1160",35644,10461297,0.136889963167587
"2763",35644,20715807,0.144907407407407
"430",35644,4533688,0.149538413043883
"4168",35644,27988870,0.150773408169005
"859",35644,8446996,0.15193863456985
"2318",35644,17795117,0.102437757626146
"1689",35644,14994990,0.102618425180434
"3126",35644,21956216,0.104088501841958
"399",35644,4379987,0.106290173194827
"2868",35644,21220005,0.107369998537049
"93",35644,1093353,0.108123382930381
"73",35644,950294,0.110166014820247
"105",35644,1382539,0.110493904281143
"2822",35644,21019001,0.118889784477342
"1825",35644,15637124,0.123678374575637
"1012",35644,9551204,0.0463882808456584
"3552",35644,4000503,0.0756012612075283
"1944",35644,16206378,0.0773662163840365
"1958",35644,16248634,0.0788134163952397
"9191",35644,8973016,0.0790663034209332
"21672",35644,17046364,0.0799395406793319
"1129",35644,10237676,0.0802059698728965
"3349",35644,22587874,0.0802246030721569
"3399",35644,22829355,0.0807856404972924
"187",35644,2204613,0.0812030915921606
"3492",35644,23168866,0.0558176100628931
"4280",35644,29132268,0.0560534591194968
"2393",35644,18217734,0.0568257491675916
"2360",35644,18043932,0.058896750524109
"2210",35644,17256873,0.0778385316390707
"900",35644,8783685,0.0785836566155293
"426",35644,4518459,0.0809304182889089
"3178",35644,22068138,0.0818374593911354
"1292",35644,11640884,0.0839844990788387
"775",35644,7211871,0.0848134171907757
"106",35644,1393975,0.0516753056884636
"3291",35644,22423628,0.0586622807017544
"1391",35644,12550620,0.0832215956558062
"35511",35644,23427129,0.0849133249791145
"1504",35644,13423738,0.0857383040935673
"201",35644,2284965,0.0859424307624407
"3699",35644,24046919,0.0869306975847224
