reviewer_id,listing_id
1510,2496189
1510,18044489
6450,1019470
6450,5854040
6499,12092875
6499,15331224
6499,16523419
6888,5749708
7428,4938164
8348,689381
10878,3276641
11070,2097527
12031,2042954
12031,19477445
12289,6174329
12289,16102695
13056,11376590
15418,14452285
16282,9594342
16282,19098408
16581,8660274
16897,5145864
17284,2958972
17788,2734275
18124,20335585
20066,1382539
20258,4183991
21050,24838581
21345,18064514
21356,2262833
21592,451180
21592,4596011
21595,12616521
22034,4582320
22034,18949357
22277,2778375
22444,921584
22444,13701486
22775,9960269
22961,5480838
23015,38951
24202,13943430
24469,18793586
24779,1956314
24984,3086359
24984,3231001
24984,3428509
24984,10090624
24984,12452468
25317,1019470
25319,17114508
25362,2467917
25409,14111210
25511,17259175
25511,18113645
25824,21900766
26007,9433670
26324,12909633
26329,3146880
26511,35644
26528,15344491
26687,4883217
27996,20054108
28383,13032457
28827,20159578
30581,451180
30581,3669280
30587,8956548
30593,6824084
30593,7211871
30712,2362974
30712,4153618
30712,9466943
30787,11265500
31781,15482019
31967,21790009
32375,12834899
32433,1046145
32433,2795033
32433,4113665
32518,9204095
33117,421609
33117,14094409
34387,906304
34695,15748563
34695,15973247
36739,5524943
37208,3276641
38901,667377
39130,519737
39155,3901859
39685,13533241
39685,21829513
39761,4795042
40161,15368103
40491,12843596
40679,18741616
40679,20658124
40901,24065325
42001,4358779
42001,12748680
42808,9943818
43399,9366540
43399,15888696
43697,820306
44079,6317606
44687,10044438
45327,17538874
45689,708702
45702,4153618
45702,4856842
45787,292399
47450,11259917
47764,8819604
47930,162081
48117,1090688
49014,19274725
51796,19017450
52253,706423
52253,921584
53086,17622955
53825,8132865
53825,9263970
56926,21916933
57645,21816738
59689,3544407
60190,13804176
61002,9830785
61002,19415814
61326,9594342
62210,10638476
62349,8722417
63805,12344224
65885,14131771
65885,17158652
66318,877502
69928,9351022
69928,15482640
70798,4920404
70798,9351933
72518,15976795
72556,10144312
72556,16257763
72556,24020196
72556,24384367
74073,15221813
74149,890909
74950,5232285
75724,2256587
75957,10638319
76483,906059
76611,352015
76923,162081
77314,20938867
77417,9354515
77417,13834948
79133,1799231
79133,1956314
