,listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy,experience,view,décor_and_amenities,neighborhood_and_access,host,weather_and_amenties,food,overall_avg
0,35644,t,Hobart,House,Private room,2,1.5,1,1,Real Bed,$55.00 ,0.00%,54.55%,1,moderate,0.9696969696969697,0.9847328244274809,0.9883720930232558,0.9743589743589743,0.95,1.0,1.0,0.9701492537313433
1,38951,t,Hobart,Townhouse,Entire home/apt,4,1.0,2,2,Real Bed,$190.00 ,0.00%,0.00%,2,strict_14_with_grace_period,1.0,1.0,0.9444444444444444,0.983739837398374,0.9591836734693877,0.8461538461538461,0.875,1.0
2,84581,f,Kentish,House,Entire home/apt,9,2.0,3,6,Real Bed,$295.00 ,0.00%,0.00%,2,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,88873,t,Hobart,Townhouse,Entire home/apt,4,1.0,2,3,Real Bed,$125.00 ,0.00%,0.00%,1,moderate,0.8518518518518519,0.9259259259259259,0.9421487603305785,0.9612403100775194,0.9636363636363636,0.8529411764705882,0.8636363636363636,0.9865771812080537
4,137808,f,Launceston,House,Entire home/apt,9,1.5,2,7,Real Bed,$145.00 ,0.00%,0.00%,1,strict_14_with_grace_period,1.0,0.8181818181818182,0.9504132231404959,0.8823529411764706,0.8297872340425532,0.5652173913043478,0.6666666666666666,0.9440559440559441
5,162081,t,Kingborough,Guest suite,Private room,2,1.0,1,1,Real Bed,$101.00 ,0.00%,0.00%,1,moderate,1.0,0.9817351598173516,0.9766536964980544,0.9722222222222222,0.9920948616600791,0.9215686274509803,0.9836734693877551,0.9766763848396501
6,252996,t,Central Coast,Guest suite,Entire home/apt,2,1.0,1,1,Real Bed,$156.00 ,96.15%,19.23%,2,moderate,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
7,268482,t,Circular Head,Bed and breakfast,Private room,2,1.0,0,1,Real Bed,$175.00 ,0.00%,0.00%,1,super_strict_30,,,1.0,,,1.0,,1.0
8,270374,t,Central Coast,Loft,Entire home/apt,3,1.0,1,2,Real Bed,$280.00 ,89.29%,14.29%,2,moderate,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0
9,278045,t,Huon Valley,House,Private room,2,1.0,1,1,Real Bed,$90.00 ,0.00%,11.11%,1,moderate,1.0,1.0,1.0,0.9473684210526315,1.0,0.8461538461538461,1.0,0.9629629629629629
10,292399,f,Central Highlands,Bed and breakfast,Private room,4,1.0,1,3,Real Bed,$85.00 ,0.00%,0.00%,1,strict_14_with_grace_period,1.0,0.967741935483871,0.9230769230769231,1.0,0.971830985915493,0.85,1.0,0.9215686274509803
11,292447,f,Hobart,Guesthouse,Private room,2,0.5,1,1,Pull-out Sofa,$50.00 ,0.00%,40.00%,2,flexible,1.0,0.9354838709677419,0.9,0.9655172413793104,1.0,1.0,1.0,0.9036144578313253
12,326771,t,Glenorchy,House,Entire home/apt,11,2.0,3,8,Real Bed,$105.00 ,0.00%,104.76%,2,moderate,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0
13,352015,t,Hobart,Bed and breakfast,Private room,2,1.0,1,1,Real Bed,$95.00 ,0.00%,0.00%,2,moderate,1.0,1.0,0.9726027397260274,0.9583333333333334,1.0,0.9615384615384616,1.0,0.9887640449438202
14,356624,f,Sorell,House,Private room,2,1.0,1,1,Real Bed,$65.00 ,0.00%,0.00%,1,flexible,1.0,0.8,0.8181818181818182,1.0,1.0,0.5,1.0,0.8333333333333334
15,401176,f,Hobart,House,Private room,1,0.0,1,1,Real Bed,$74.00 ,0.00%,20.27%,1,moderate,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,421609,t,Hobart,Apartment,Entire home/apt,5,1.0,2,3,Real Bed,$145.00 ,137.93%,0.00%,3,strict_14_with_grace_period,0.9411764705882353,0.9347826086956522,1.0,0.952755905511811,0.8620689655172413,0.9629629629629629,0.92,0.9880952380952381
17,421709,f,Sorell,Bungalow,Entire home/apt,4,1.0,2,4,Real Bed,$190.00 ,0.00%,0.00%,3,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
18,434116,t,Hobart,Apartment,Entire home/apt,5,1.0,2,5,Real Bed,$350.00 ,142.86%,17.14%,2,strict_14_with_grace_period,1.0,1.0,0.9493670886075949,1.0,1.0,0.7647058823529411,1.0,0.9772727272727273
19,451180,t,Hobart,Guesthouse,Entire home/apt,2,1.0,1,1,Real Bed,$84.00 ,0.00%,30.95%,3,moderate,0.9642857142857143,0.984375,0.9908256880733946,0.9695431472081218,1.0,0.9344262295081968,1.0,0.9765625
20,453777,t,Southern Midlands,House,Entire home/apt,6,2.0,3,3,Real Bed,$185.00 ,0.00%,0.00%,2,strict_14_with_grace_period,0.7142857142857143,1.0,0.8947368421052632,0.9473684210526315,1.0,1.0,1.0,0.9555555555555556
