listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy
35644,t,Hobart,House,Private room,2,1.5,1,1,Real Bed,$55.00 ,0.00%,54.55%,1,moderate
38951,t,Hobart,Townhouse,Entire home/apt,4,1,2,2,Real Bed,$190.00 ,0.00%,0.00%,2,strict_14_with_grace_period
84581,f,Kentish,House,Entire home/apt,9,2,3,6,Real Bed,$295.00 ,0.00%,0.00%,2,strict_14_with_grace_period
88873,t,Hobart,Townhouse,Entire home/apt,4,1,2,3,Real Bed,$125.00 ,0.00%,0.00%,1,moderate
137808,f,Launceston,House,Entire home/apt,9,1.5,2,7,Real Bed,$145.00 ,0.00%,0.00%,1,strict_14_with_grace_period
162081,t,Kingborough,Guest suite,Private room,2,1,1,1,Real Bed,$101.00 ,0.00%,0.00%,1,moderate
252996,t,Central Coast,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$156.00 ,96.15%,19.23%,2,moderate
268482,t,Circular Head,Bed and breakfast,Private room,2,1,0,1,Real Bed,$175.00 ,0.00%,0.00%,1,super_strict_30
270374,t,Central Coast,Loft,Entire home/apt,3,1,1,2,Real Bed,$280.00 ,89.29%,14.29%,2,moderate
278045,t,Huon Valley,House,Private room,2,1,1,1,Real Bed,$90.00 ,0.00%,11.11%,1,moderate
292399,f,Central Highlands,Bed and breakfast,Private room,4,1,1,3,Real Bed,$85.00 ,0.00%,0.00%,1,strict_14_with_grace_period
292447,f,Hobart,Guesthouse,Private room,2,0.5,1,1,Pull-out Sofa,$50.00 ,0.00%,40.00%,2,flexible
326771,t,Glenorchy,House,Entire home/apt,11,2,3,8,Real Bed,$105.00 ,0.00%,104.76%,2,moderate
352015,t,Hobart,Bed and breakfast,Private room,2,1,1,1,Real Bed,$95.00 ,0.00%,0.00%,2,moderate
356624,f,Sorell,House,Private room,2,1,1,1,Real Bed,$65.00 ,0.00%,0.00%,1,flexible
401176,f,Hobart,House,Private room,1,0,1,1,Real Bed,$74.00 ,0.00%,20.27%,1,moderate
421609,t,Hobart,Apartment,Entire home/apt,5,1,2,3,Real Bed,$145.00 ,137.93%,0.00%,3,strict_14_with_grace_period
421709,f,Sorell,Bungalow,Entire home/apt,4,1,2,4,Real Bed,$190.00 ,0.00%,0.00%,3,strict_14_with_grace_period
434116,t,Hobart,Apartment,Entire home/apt,5,1,2,5,Real Bed,$350.00 ,142.86%,17.14%,2,strict_14_with_grace_period
451180,t,Hobart,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$84.00 ,0.00%,30.95%,3,moderate
453777,t,Southern Midlands,House,Entire home/apt,6,2,3,3,Real Bed,$185.00 ,0.00%,0.00%,2,strict_14_with_grace_period
453815,f,Central Coast,Guest suite,Entire home/apt,5,1,2,4,Real Bed,$101.00 ,0.00%,0.00%,1,moderate
485644,t,Launceston,Cabin,Entire home/apt,2,1,1,1,Real Bed,$251.00 ,0.00%,0.00%,1,strict_14_with_grace_period
488471,f,Waratah/Wynyard,House,Entire home/apt,6,1,3,4,Real Bed,$190.00 ,0.00%,0.00%,2,moderate
498220,f,Clarence,House,Entire home/apt,6,2,3,4,Real Bed,$180.00 ,222.22%,0.00%,1,moderate
499959,t,Break O'Day,House,Entire home/apt,4,1,2,2,Real Bed,$500.00 ,0.00%,0.00%,2,strict_14_with_grace_period
502865,f,Hobart,Guesthouse,Entire home/apt,2,1.5,1,1,Real Bed,$220.00 ,0.00%,13.64%,2,strict_14_with_grace_period
513528,t,Kingborough,Cabin,Entire home/apt,2,1,1,1,Real Bed,$74.00 ,0.00%,33.78%,3,moderate
515646,t,Kingborough,Cabin,Entire home/apt,2,1,1,1,Real Bed,$140.00 ,0.00%,25.00%,2,moderate
519737,f,Kingborough,Cottage,Entire home/apt,4,1,1,2,Real Bed,$120.00 ,0.00%,20.83%,1,flexible
534199,f,Central Highlands,House,Entire home/apt,6,1,3,4,Real Bed,$260.00 ,0.00%,30.77%,2,strict_14_with_grace_period
537703,f,Kingborough,Chalet,Entire home/apt,2,1,1,1,Real Bed,$145.00 ,0.00%,0.00%,2,flexible
566316,f,Hobart,House,Entire home/apt,4,1,2,2,Real Bed,$120.00 ,0.00%,0.00%,4,moderate
587738,t,Launceston,Apartment,Entire home/apt,5,1,3,3,Real Bed,$110.00 ,0.00%,36.36%,1,moderate
587844,t,Launceston,Apartment,Entire home/apt,2,1,1,1,Real Bed,$87.00 ,0.00%,34.48%,1,moderate
637058,f,Flinders,Guesthouse,Entire home/apt,2,1,1,2,Futon,$160.00 ,0.00%,21.88%,3,flexible
667377,f,Glenorchy,House,Private room,1,1,1,1,Real Bed,$50.00 ,0.00%,0.00%,2,moderate
671769,t,Launceston,Apartment,Entire home/apt,6,1.5,3,4,Real Bed,$196.00 ,0.00%,38.27%,2,moderate
682207,f,Dorset,Guest suite,Entire home/apt,4,1,1,2,Real Bed,$110.00 ,0.00%,18.18%,1,strict_14_with_grace_period
689381,t,Kingborough,House,Entire home/apt,4,2,2,3,Real Bed,$450.00 ,333.33%,26.67%,7,strict_14_with_grace_period
706348,t,Hobart,Apartment,Entire home/apt,5,1,2,3,Real Bed,$135.00 ,148.15%,0.00%,3,strict_14_with_grace_period
706423,t,Hobart,Apartment,Entire home/apt,5,1,2,3,Real Bed,$135.00 ,148.15%,0.00%,3,strict_14_with_grace_period
708702,f,Hobart,Apartment,Entire home/apt,2,1,1,1,Real Bed,$175.00 ,571.43%,28.57%,3,strict_14_with_grace_period
741519,t,Glenorchy,Earth house,Entire home/apt,4,1,2,2,Real Bed,$125.00 ,120.00%,32.00%,2,strict_14_with_grace_period
753283,f,Hobart,House,Entire home/apt,6,2,2,5,Real Bed,$230.00 ,108.70%,30.43%,2,moderate
753990,f,Flinders,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$165.00 ,0.00%,21.21%,2,moderate
757987,f,Derwent Valley,Cottage,Entire home/apt,3,1,1,1,Real Bed,$207.00 ,0.00%,0.00%,2,flexible
760478,f,Glamorgan/Spring Bay,Cabin,Entire home/apt,2,1,1,1,Real Bed,$350.00 ,0.00%,0.00%,2,super_strict_60
773175,f,Hobart,House,Private room,2,1,1,1,Real Bed,$101.00 ,0.00%,0.00%,2,strict_14_with_grace_period
782046,f,Central Coast,Apartment,Entire home/apt,4,2,2,3,Real Bed,$81.00 ,0.00%,18.52%,2,strict_14_with_grace_period
788753,f,Launceston,House,Entire home/apt,8,2,4,5,Real Bed,$196.00 ,102.04%,40.82%,1,strict_14_with_grace_period
788858,f,Launceston,House,Entire home/apt,9,1.5,4,5,Real Bed,$180.00 ,111.11%,44.44%,1,strict_14_with_grace_period
792917,t,Clarence,House,Entire home/apt,8,1,4,4,Real Bed,$350.00 ,0.00%,14.29%,2,strict_14_with_grace_period
820278,f,Hobart,House,Entire home/apt,6,1,2,4,Real Bed,$135.00 ,148.15%,0.00%,2,strict_14_with_grace_period
820306,f,Huon Valley,Cottage,Entire home/apt,4,1,2,2,Real Bed,$165.00 ,0.00%,18.18%,2,moderate
853123,t,Central Highlands,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,0.00%,0.00%,1,moderate
859047,f,Huon Valley,Condominium,Entire home/apt,4,2,2,3,Real Bed,$129.00 ,0.00%,0.00%,3,moderate
862364,f,Launceston,Bed and breakfast,Private room,2,1,1,1,Real Bed,$185.00 ,0.00%,0.00%,1,strict_14_with_grace_period
863536,t,Hobart,Bed and breakfast,Private room,2,1,1,1,Real Bed,$70.00 ,142.86%,35.71%,1,flexible
865890,f,West Tamar,Guest suite,Private room,3,1,1,2,Real Bed,$129.00 ,0.00%,0.00%,1,strict_14_with_grace_period
871057,t,Launceston,Guest suite,Entire home/apt,4,1,1,2,Real Bed,$94.00 ,0.00%,21.28%,1,moderate
877502,f,Launceston,House,Private room,2,0,1,1,Real Bed,$61.00 ,245.90%,63.93%,2,flexible
881361,t,Break O'Day,House,Entire home/apt,2,1,1,1,Real Bed,$101.00 ,0.00%,0.00%,3,strict_14_with_grace_period
882644,f,Launceston,House,Private room,2,1.5,2,3,Real Bed,$61.00 ,245.90%,106.56%,2,moderate
890908,t,Hobart,Apartment,Entire home/apt,2,1,1,1,Real Bed,$99.00 ,0.00%,0.00%,3,flexible
890909,t,Kingborough,Farm stay,Entire home/apt,2,1,1,1,Real Bed,$135.00 ,0.00%,0.00%,2,moderate
905873,f,Launceston,House,Entire home/apt,12,1.5,3,9,Real Bed,$156.00 ,0.00%,0.00%,1,strict_14_with_grace_period
906059,f,West Tamar,Guest suite,Entire home/apt,2,1,1,2,Real Bed,$125.00 ,80.00%,36.00%,2,moderate
906304,f,Hobart,Apartment,Entire home/apt,4,1,2,4,Real Bed,$189.00 ,79.37%,37.04%,2,moderate
920041,f,Kentish,Bed and breakfast,Private room,2,1,1,1,Real Bed,$185.00 ,0.00%,0.00%,1,strict_14_with_grace_period
921584,t,Huon Valley,House,Entire home/apt,6,2,3,6,Real Bed,$85.00 ,0.00%,70.59%,2,moderate
932793,f,Hobart,Apartment,Private room,2,1,1,1,Real Bed,$51.00 ,0.00%,0.00%,1,moderate
