word,cluster,
bus,4,
arrival,5,
lovely,2,
comfortable,3,
stay,1,
quiet,4,
view,2,
kitchen,3,
balcony,2,
garden,2,
corner,4,
ideal,4,
sun,2,
free,7,
help,5,
breakfast,7,
fruit,7,
coffee,7,
fresh,7,
bread,7,
short,4,
walk,4,
house,3,
beautiful,2,
close,4,
city,4,
centre,4,
friendly,5,
host,5,
person,5,
welcome,5,
helpful,5,
information,5,
place,4,
central,4,
town,4,
walking,4,
staying,1,
first,1,
experience,0,
air,6,
room,3,
privacy,3,
star,2,
happy,5,
advice,5,
chat,5,
friend,1,
comfy,3,
wonderful,0,
time,1,
tassie,1,
local,4,
accommodating,5,
relaxed,0,
delightful,0,
pleasure,0,
knowledge,5,
area,4,
art,3,
restaurant,4,
next,1,
tasmanian,1,
holiday,1,
historic,4,
cottage,3,
spacious,3,
light,6,
big,3,
window,2,
delicious,7,
kind,5,
old,3,
night,6,
location,4,
north,4,
bathroom,3,
clean,3,
space,3,
nice,3,
quick,4,
respond,5,
message,5,
home,3,
day,1,
warm,6,
linen,3,
suggestion,5,
minute,4,
anyone,1,
hospitable,5,
cosy,3,
waterfront,4,
cafe,4,
recommend,1,
traveller,1,
weekend,1,
homemade,7,
recommendation,5,
tasmania,1,
trip,1,
style,3,
busy,1,
visit,1,
tourist,4,
attraction,4,
money,5,
part,1,
tv,3,
bed,3,
sunrise,2,
meal,7,
tip,5,
accomodation,3,
top,2,
hill,4,
spectacular,2,
shop,4,
supply,7,
direction,5,
enjoyable,0,
street,4,
bar,4,
evening,6,
deck,2,
cool,6,
wine,7,
food,7,
easy,4,
long,1,
hope,1,
right,4,
hotel,4,
bottle,7,
table,7,
way,1,
blanket,6,
cozy,3,
cooking,7,
hospitality,5,
point,4,
electric,6,
heater,6,
size,3,
stroll,4,
meet,5,
plan,1,
spot,4,
modern,3,
amenity,3,
question,5,
steep,4,
perfect,1,
fireplace,6,
min,4,
convenient,4,
end,1,
river,2,
east,1,
cold,6,
winter,6,
weather,6,
week,1,
year,1,
heart,4,
distance,4,
tidy,3,
parking,4,
park,4,
shower,3,
heating,6,
fire,6,
bedroom,3,
travel,1,
pub,4,
neat,3,
car,4,
other,1,
large,3,
item,7,
stylish,3,
water,2,
center,4,
last,1,
sweet,7,
accommodation,3,
dinner,7,
toilet,3,
lounge,3,
private,3,
nearby,4,
salamanca,4,
hot,6,
market,4,
drive,4,
middle,4,
communication,5,
quaint,3,
small,3,
grocery,4,
neighbourhood,4,
freycinet,4,
national,4,
comfort,3,
animal,2,
future,1,
s,1,
access,4,
treat,7,
bright,3,
partner,1,
service,5,
instruction,5,
living,3,
front,2,
spotless,3,
floor,3,
huge,3,
outdoor,3,
airport,4,
apartment,3,
reservation,5,
base,1,
store,4,
outside,2,
useful,5,
couple,1,
tour,1,
decor,3,
wifi,3,
contact,5,
cute,3,
expectation,0,
bath,3,
rest,1,
moment,0,
farm,2,
facility,3,
dining,3,
studio,3,
surround,1,
scenic,4,
tea,7,
sandy,4,
bay,4,
sea,2,
mountain,2,
relaxing,2,
explore,1,
hour,4,
deal,5,
check,5,
owner,5,
responsive,5,
noise,4,
care,5,
prompt,5,
chocolate,7,
getaway,1,
communicate,5,
immaculate,3,
tree,2,
supermarket,4,
bike,4,
beach,4,
road,4,
cole,4,
cradle,1,
country,2,
wish,1,
building,3,
checkin,5,
return,1,
spa,3,
booking,5,
yard,2,
milk,7,
sleep,6,
site,4,
egg,7,
fridge,7,
island,1,2
history,3,
bruny,1,
track,4,
outstanding,0,
response,5,
laundry,3,
flat,3,
launceston,4,
gorge,4,
provision,7,
interior,3,
bbq,3,
sunset,2,
bush,2,
bird,2,
nature,2,
wildlife,2,
unique,0,
wallaby,2,
ocean,2,
coast,1,2
design,3,
jam,7,
valley,2,
port,1,2
arthur,1,
bicheno,4,
